"first_name","last_name","hire_date"
"Georgi","Facello","1986-06-26"
"Parto","Bamford","1986-08-28"
"Chirstian","Koblick","1986-12-01"
"Sanjiv","Zschoche","1986-02-04"
"Kwee","Schusler","1986-02-26"
"Kshitij","Gils","1986-03-27"
"Zhongwei","Rosen","1986-10-30"
"Xinglin","Eugenio","1986-09-08"
"Sudharsan","Flasterstein","1986-08-12"
"Kendra","Hofting","1986-03-14"
"Hilari","Morton","1986-07-15"
"Akemi","Birch","1986-12-02"
"Lunjin","Giveon","1986-10-02"
"Xuejia","Ullian","1986-08-22"
"Chikara","Rissland","1986-01-23"
"Domenick","Peltason","1986-03-14"
"Zissis","Pintelas","1986-02-11"
"Perry","Shimshoni","1986-09-18"
"Kazuhito","Encarnacion","1986-08-21"
"Xiadong","Perry","1986-11-05"
"Zhenbing","Perng","1986-11-16"
"Jaques","Munro","1986-01-27"
"Khedija","Mitsuhashi","1986-01-29"
"Dharmaraja","Stassinopoulos","1986-12-06"
"Kasturi","Jenevein","1986-01-02"
"Valery","Litvinov","1986-10-07"
"Shaw","Wendorf","1986-02-25"
"Duro","Sidhu","1986-03-01"
"Shigehito","Kropatsch","1986-03-28"
"Arve","Fairtlough","1986-06-23"
"Zdislav","Nastansky","1986-04-10"
"Idoia","Kavraki","1986-11-22"
"Nevio","Ritcey","1986-12-04"
"Yongmin","Roison","1986-05-12"
"Tze","Nourani","1986-06-08"
"Kellie","Chinen","1986-06-19"
"Mototsugu","Gire","1986-11-19"
"Aiman","Riexinger","1986-08-05"
"Susanna","Vesel","1986-06-25"
"Nishit","Siochi","1986-12-17"
"Sham","Eastman","1986-05-23"
"Hercules","Benzmuller","1986-06-04"
"Dipayan","Seghrouchni","1986-09-29"
"Narain","Oaver","1986-05-28"
"Faiza","Baer","1986-07-22"
"Rasiah","Deyuan","1986-08-28"
"Christfried","Apsitis","1986-01-16"
"Arie","Birge","1986-12-10"
"Remko","Shigei","1986-01-20"
"Seshu","Sidou","1986-10-23"
"Qunsheng","Toyoshima","1986-05-17"
"Feiyu","Luft","1986-01-16"
"Sibyl","Rahier","1986-01-11"
"Masoud","Fabrizio","1986-05-06"
"Martien","Improta","1986-03-09"
"Marsha","Tagansky","1986-12-19"
"Yakkov","Servieres","1986-01-18"
"Udi","Gihr","1986-01-12"
"Yonghoan","Alencar","1986-03-22"
"Marke","Cesareni","1986-12-12"
"Mary","Wossner","1986-05-18"
"Mohamadou","Smailagic","1986-10-31"
"Godehard","Eiter","1986-02-28"
"Ramalingam","Gunderson","1986-05-04"
"Sashi","Karlin","1986-03-31"
"Jianhao","Thisen","1986-05-08"
"Shmuel","Juneja","1986-06-22"
"Mana","Papastamatiou","1986-02-17"
"Sajjad","Willoner","1986-01-05"
"Yongqiao","Kalloufi","1986-04-09"
"Adhemar","Talmor","1986-05-25"
"Lalit","Francisci","1986-01-30"
"Hirochika","Narlikar","1986-08-06"
"Arto","Serra","1986-09-28"
"Bluma","Zeilberger","1986-07-13"
"Valeri","Danley","1986-03-20"
"Kish","Honglei","1986-06-20"
"Berhard","Daescu","1986-01-08"
"Hyuncheol","Zolotykh","1986-10-27"
"Jiafu","Mateescu","1986-02-02"
"Jagoda","Naumovich","1986-04-26"
"Percy","Lorho","1986-04-20"
"Florina","Simkin","1986-01-06"
"Mahmut","Skafidas","1986-03-16"
"Selwyn","Merey","1986-07-04"
"Munehiro","Zallocco","1986-10-23"
"Pascal","Sooriamurthi","1986-08-02"
"Baocai","Pena","1986-02-23"
"Masaru","Passino","1986-01-11"
"Godehard","Gammage","1986-02-14"
"Hidde","Bergere","1986-10-11"
"Chuanti","Karlin","1986-01-14"
"Berni","Sanella","1986-07-14"
"Theirry","Danley","1986-07-25"
"Sreenivas","Peck","1986-12-31"
"Billur","Gyorkos","1986-10-08"
"Mahmut","Borstler","1986-04-22"
"Subir","Biron","1986-06-06"
"Weiye","Nitsche","1986-04-20"
"Vishwani","Petersohn","1986-04-26"
