"emp_no","dept_no","last_name","first_name","dept_name"
11582,"d004","Baar","Willard","Production"
11591,"d004","Lindqvist","Kiyomitsu","Production"
11601,"d007","Ritzmann","Erez","Sales"
11609,"d001","Marrakchi","Sigeru","Marketing"
11618,"d001","Juneja","Gian","Marketing"
11628,"d005","Malinowski","Fan","Development"
11638,"d004","Falco","JoAnne","Production"
11649,"d005","Bernardinello","Shen","Development"
11659,"d007","Pileggi","Tremaine","Sales"
11669,"d004","Anguita","Leah","Production"
11678,"d004","Bernick","Zhaofang","Production"
11686,"d004","Srimani","Nadjib","Production"
11695,"d004","Serra","Gretta","Production"
11705,"d002","Hofmeyr","Arve","Finance"
11713,"d004","Heusch","Danel","Production"
11723,"d007","Bauknecht","Halsur","Sales"
11732,"d004","Ranft","Sanjoy","Production"
11740,"d007","Pero","Isaac","Sales"
11750,"d004","Dalphin","Mong","Production"
11759,"d009","Cincotta","Feixiong","Customer Service"
11769,"d004","Lampe","Chandrasekaran","Production"
11780,"d005","Sewelson","Sugwoo","Development"
11788,"d004","Gopalakrishnan","Georgy","Production"
11797,"d004","Thambidurai","Chenxi","Production"
11807,"d001","Binding","Chriss","Marketing"
11815,"d004","Sommen","Akemi","Production"
11823,"d004","Iacovou","Weiyi","Production"
11831,"d005","Billingsley","Udaiprakash","Development"
11841,"d004","Bugrara","Elvia","Production"
11852,"d001","Yurek","Zhongwei","Marketing"
11862,"d001","Deville","Alejandra","Marketing"
11873,"d004","Reeken","Venkatesan","Production"
11882,"d001","Manders","Zhonghua","Marketing"
11893,"d001","Zobel","Vitali","Marketing"
11904,"d004","Flasterstein","DeForest","Production"
11912,"d007","Giaccio","Kristian","Sales"
11920,"d005","Chinal","Kasturi","Development"
11928,"d008","Wroclawski","Mang","Research"
11938,"d005","Verspoor","Aruna","Development"
11948,"d009","Nergos","Yahiko","Customer Service"
11957,"d009","Radivojevic","Frederique","Customer Service"
11967,"d006","Chinin","Guoxiang","Quality Management"
11977,"d003","Dayang","Chandrasekaran","Human Resources"
11987,"d009","Schaar","Vidya","Customer Service"
11998,"d009","Juneja","Conal","Customer Service"
12008,"d005","Zykh","Frederique","Development"
12018,"d006","Morton","Fai","Quality Management"
12027,"d005","Vuskovic","Zhanqiu","Development"
12036,"d008","Ratzlaff","Mads","Research"
12046,"d007","Ranum","Xiong","Sales"
12056,"d007","Genther","Nirmal","Sales"
12067,"d008","Kalsbeek","Doowon","Research"
12077,"d009","Hutton","Steve","Customer Service"
12088,"d005","Liesche","Gro","Development"
12098,"d003","Eugenio","Pranay","Human Resources"
12106,"d007","Cangellaris","Zissis","Sales"
12117,"d008","Rosaz","Zvonko","Research"
12125,"d006","Erman","Shounak","Quality Management"
12134,"d005","Flasterstein","Hsiangchu","Development"
12143,"d009","Denti","Zeljko","Customer Service"
12152,"d006","Nyrup","Amalendu","Quality Management"
12162,"d009","Dulli","Alois","Customer Service"
12170,"d006","Nannarelli","Moie","Quality Management"
12178,"d003","Chinal","Miyeon","Human Resources"
12188,"d007","Waleschkowski","Vasilis","Sales"
12197,"d009","Beznosov","Bowen","Customer Service"
12208,"d006","Passino","Bartek","Quality Management"
12217,"d008","Suessmith","Aloke","Research"
12226,"d003","Joslin","Kankanahalli","Human Resources"
12236,"d008","Thambidurai","Ebbe","Research"
12244,"d005","Harllee","Annemarie","Development"
12252,"d009","Jiang","Genki","Customer Service"
12260,"d009","Huttel","Mokhtar","Customer Service"
12269,"d005","Whitcomb","Mohammed","Development"
12279,"d006","Brookman","Renee","Quality Management"
12290,"d008","Braccini","Jeanne","Research"
12298,"d007","Rodham","Tetsurou","Sales"
12308,"d008","Cronau","Mototsugu","Research"
12317,"d003","Crabtree","Weiyi","Human Resources"
12325,"d009","Randt","Alassane","Customer Service"
12334,"d009","Ertl","Mary","Customer Service"
12343,"d005","Slaats","Sorina","Development"
12351,"d009","Zizka","Gennady","Customer Service"
12361,"d005","Strandh","Elliott","Development"
12371,"d008","Choobineh","Paraskevi","Research"
12380,"d009","Farrow","Menkae","Customer Service"
12388,"d003","Hebert","Arumugam","Human Resources"
12398,"d005","Solovay","Arif","Development"
12409,"d009","Petereit","Ebru","Customer Service"
12420,"d008","Rande","Douadi","Research"
12430,"d009","Feldmann","Kristine","Customer Service"
12438,"d007","Mondadori","Yongmao","Sales"
12448,"d009","Salverda","Honglan","Customer Service"
12458,"d009","Junet","Oksana","Customer Service"
12467,"d003","Bennis","Zhiwei","Human Resources"
12478,"d005","Hopewell","Yahiko","Development"
12487,"d007","Reghbati","Mona","Sales"
12496,"d003","Chimia","Guiseppe","Human Resources"
12505,"d009","Goldhammer","Barton","Customer Service"
12516,"d007","Aamodt","Sreenivas","Sales"
