"first_name","last_name","sex"
"Hercules","Benzmuller","M"
"Hercules","Brendel","F"
"Hercules","Baranowski","M"
"Hercules","Barreiro","M"
"Hercules","Baer","M"
"Hercules","Bail","F"
"Hercules","Bernardinello","F"
"Hercules","Basagni","M"
"Hercules","Biran","F"
"Hercules","Bernatsky","M"
"Hercules","Birge","F"
"Hercules","Buchter","M"
"Hercules","Bisiani","F"
"Hercules","Bodoff","M"
"Hercules","Biron","F"
"Hercules","Bain","F"
"Hercules","Bahr","M"
"Hercules","Benantar","F"
"Hercules","Baak","M"
"Hercules","Berstel","F"
